Latitude,Longitude
43.41829603,-79.76629099
45.57707815,-78.52258738
45.51885356,-78.2912065
45.52523735,-78.41308114
45.60350894,-78.95300343
45.59402689,-77.86271937
45.66813745,-78.98685634
46.10600903,-78.68906839
45.56431295,-78.63200332
45.1881819,-78.23300315
45.74007296,-79.06000347
45.53952316,-78.2686536
45.64911599,-78.09900315
45.57700897,-78.29985321
45.63575377,-78.36004314
45.55631976,-78.41958225
45.54270944,-78.69522424
45.59180097,-78.34006892
45.54793924,-78.64930912
45.57934256,-78.40690065
45.24069111,-78.18914474
45.55571265,-78.60304711
43.41228242,-79.76544838
45.53534194,-78.70814634
45.89000605,-77.63498012
45.57267395,-78.52520858
46.02539383,-78.48609251
45.46337892,-78.79802466
45.58076366,-78.39936504
45.56504175,-78.55170039
45.57987386,-78.51234588
45.55287686,-78.2920928
45.19489921,-78.14890282
45.53491604,-78.70694684
45.57791356,-78.51461188
45.55349186,-78.2804787
45.48525643,-78.75663435
45.44196572,-78.81987877
45.86728574,-77.75539766
45.24069111,-78.18914474
46.08826306,-78.09800319
46.13295506,-78.29600326
45.83011104,-77.54300298
45.53032876,-78.2814896
45.52857314,-78.70614844
43.40823692,-79.76409288
45.55077676,-78.2698665
45.38297364,-78.16369325
46.09894905,-78.4230033
43.40876053,-79.74979818
42.70200217,-80.3344549
42.70688897,-80.3312416
45.53304094,-78.70200334
45.53508694,-78.70805734
45.86713424,-77.75817086
45.88394828,-79.13256851
45.58732206,-78.37344483
42.70044737,-80.3378396
45.86728574,-77.75539766
45.55998425,-78.5775027
45.19400131,-78.15204973
43.41114743,-79.75034298
43.90496113,-77.24968472
43.41075592,-79.75973038
46.06554134,-78.45986891
45.51819655,-78.39939344
45.92298498,-79.18500353
45.54395886,-78.26295949
45.72065001,-77.78925806
45.57917766,-78.45388936
45.37012591,-78.72200333
45.54905306,-78.2711855
43.39898092,-79.75767468
43.41639713,-79.76348388
42.70851127,-80.3373875
43.90785592,-77.27024813
43.90916402,-77.26966263
43.90838202,-77.27276203
43.89874292,-77.26063832
43.89306142,-77.21949991
45.94519106,-77.60600302
45.55189215,-78.5930925
45.48908395,-78.24215418
45.96019704,-78.06300317
46.08889852,-78.88301705
45.58721396,-78.37400324
45.06582419,-75.83124055
45.37303784,-75.79797167
45.50014925,-76.09321058
45.50537498,-75.49189768
45.35464183,-76.04296155
45.35079813,-75.99812223
45.45242056,-75.66719193
45.50071535,-76.09193438
45.07241399,-75.81950295
45.45121856,-75.66519163
45.44306336,-75.66147073
45.35382673,-76.03787275
45.40662564,-75.92757771
45.45926464,-76.27076973
45.33279513,-75.85863958
45.32237124,-75.72742824
45.23962417,-76.97106824
45.03901219,-75.65587009
44.99589238,-75.63411008
45.32494253,-75.81000377
45.39119855,-75.73973925
45.01944669,-75.64282089
45.28707163,-75.81381437
45.32752994,-75.74280045
45.27361628,-76.78030888
45.39484186,-75.51300857
45.31572283,-75.86439598
45.40429306,-75.55870619
45.26420828,-76.77161368
45.29980023,-75.82105327
45.32387733,-75.80377907
45.45730746,-75.67092123
45.29335703,-75.81569997
45.35428924,-75.86056309
45.02964589,-75.65960289
45.27938658,-76.78460409
45.45923796,-75.66269893
45.46301667,-75.62546752
45.30176333,-75.87445229
45.34706365,-75.56405839
45.37876404,-75.77975776
45.29465573,-75.83532377
45.36539524,-75.8836338
45.03694409,-75.6668088
45.01828929,-75.64563219
45.39681085,-75.76212436
45.40438425,-75.75280276
45.30657533,-75.81687367
45.41039105,-75.74422405
45.04093899,-75.6725109
45.45399936,-75.68741884
45.25621296,-77.19147422
45.27313208,-76.80874239
45.03007319,-75.64579249
45.03254149,-75.64876979
45.35442265,-75.5920857
45.30329333,-75.83267577
45.38639745,-75.68171163
45.46636087,-75.5815121
45.45213307,-75.5759269
45.41906255,-75.71243574
45.27304308,-76.81218619
45.40892066,-75.54715779
45.37213765,-75.69635213
45.00558719,-75.63953358
45.39223196,-75.55102969
45.03699309,-75.666839
45.03406259,-75.6652336
45.02328099,-75.64033699
45.46371907,-75.61104951
45.33757654,-75.6085563
44.2148154,-76.69414446
44.22069661,-76.53747351
44.63028302,-75.73040448
44.51649922,-77.52638036
44.62259392,-75.70948868
44.57713981,-75.77597189
44.57645921,-75.77532059
44.28223412,-76.50705911
44.28055432,-76.51131171
44.27725892,-76.52209831
44.46057985,-76.58726755
43.93522524,-76.99135124
44.27620609,-77.34433228
44.27373299,-77.35258048
44.27686669,-77.34472588
44.55904236,-76.77976452
43.95789174,-77.1778124
44.14819207,-77.31277296
44.00514545,-77.12540669
44.22016451,-76.60663814
44.38623301,-77.31475528
44.23226681,-76.60954294
44.39193431,-77.31465228
44.56056605,-77.11754933
44.55921495,-77.11672103
44.13882936,-77.4299815
44.13753186,-77.4290434
44.72684591,-76.27270747
47.37017341,-84.69949338
45.03754674,-76.81331747
43.51118525,-81.65161989
44.2372241,-81.22105292
43.21169559,-79.81577338
46.80799255,-84.28200158
43.48931964,-79.67887906
43.91803191,-79.81447095
44.33346723,-80.817596
44.51583326,-80.83780033
44.26100712,-80.89554162
